"ACL00","STARTIME","UNIT","SEX","GEO","TIME","Value"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Total","Serbia","2010","15.0"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Total","Romania","2010","19.6"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","United Kingdom","2000","34.33"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","United Kingdom","2010","26.1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Turkey","2010","39.1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Slovenia","2000","18.68"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Serbia","2010","18.9"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Males","Romania","2010","23.5"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","United Kingdom","2000","19.96"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","United Kingdom","2010","18.0"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Turkey","2010","15.3"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Slovenia","2000","13.36"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Serbia","2010","11.5"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 16:10 to 16:19","Participation rate (%)","Females","Romania","2010","15.9"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","United Kingdom","2000","26.50"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","United Kingdom","2010","21.8"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Turkey","2010","27.2"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Slovenia","2000","16.08"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Serbia","2010","15.2"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Total","Romania","2010","19.6"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","United Kingdom","2000","33.81"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","United Kingdom","2010","26.1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Turkey","2010","39.2"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Slovenia","2000","18.81"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Serbia","2010","19.1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Males","Romania","2010","23.6"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","United Kingdom","2000","19.51"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","United Kingdom","2010","17.7"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Turkey","2010","15.4"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Slovenia","2000","13.47"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Serbia","2010","11.7"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 16:20 to 16:29","Participation rate (%)","Females","Romania","2010","15.9"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","United Kingdom","2000","24.54"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","United Kingdom","2010","20.7"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Turkey","2010","27.1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Slovenia","2000","15.87"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Serbia","2010","15.4"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Total","Romania","2010","17.8"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","United Kingdom","2000","31.44"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","United Kingdom","2010","24.9"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Turkey","2010","39.2"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Slovenia","2000","18.54"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Serbia","2010","19.5"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Males","Romania","2010","21.1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","United Kingdom","2000","17.95"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","United Kingdom","2010","16.7"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Turkey","2010","15.3"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Slovenia","2000","13.31"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Serbia","2010","11.8"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 16:30 to 16:39","Participation rate (%)","Females","Romania","2010","14.7"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","United Kingdom","2000","23.75"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","United Kingdom","2010","20.1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Turkey","2010","26.9"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Slovenia","2000","15.85"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Serbia","2010","15.6"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Total","Romania","2010","17.6"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","United Kingdom","2000","30.50"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","United Kingdom","2010","24.3"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Turkey","2010","38.9"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Slovenia","2000","18.45"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Serbia","2010","19.4"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Males","Romania","2010","21.0"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","United Kingdom","2000","17.30"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","United Kingdom","2010","16.2"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Turkey","2010","15.1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Slovenia","2000","13.37"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Serbia","2010","12.2"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 16:40 to 16:49","Participation rate (%)","Females","Romania","2010","14.5"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","United Kingdom","2000","22.81"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","United Kingdom","2010","19.5"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Turkey","2010","26.4"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Slovenia","2000","15.73"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Serbia","2010","15.4"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Total","Romania","2010","17.4"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","United Kingdom","2000","29.35"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","United Kingdom","2010","23.4"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Turkey","2010","38.1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Slovenia","2000","18.18"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Serbia","2010","19.2"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Males","Romania","2010","20.7"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","United Kingdom","2000","16.55"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","United Kingdom","2010","15.7"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Turkey","2010","14.8"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Slovenia","2000","13.39"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Serbia","2010","12.0"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 16:50 to 16:59","Participation rate (%)","Females","Romania","2010","14.4"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","United Kingdom","2000","18.57"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","United Kingdom","2010","15.7"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Turkey","2010","23.1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Slovenia","2000","14.17"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Serbia","2010","14.4"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Total","Romania","2010","14.5"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","United Kingdom","2000","24.61"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","United Kingdom","2010","19.0"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Turkey","2010","33.5"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Slovenia","2000","16.64"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Serbia","2010","17.8"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Males","Romania","2010","17.1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","United Kingdom","2000","12.79"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","United Kingdom","2010","12.6"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Turkey","2010","12.8"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Slovenia","2000","11.81"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Serbia","2010","11.4"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:00 to 17:09","Participation rate (%)","Females","Romania","2010","12.1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","United Kingdom","2000","17.22"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","United Kingdom","2010","14.6"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Turkey","2010","22.9"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Slovenia","2000","14.19"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Serbia","2010","14.6"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Total","Romania","2010","14.4"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","United Kingdom","2000","23.17"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","United Kingdom","2010","17.8"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Turkey","2010","33.3"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Slovenia","2000","16.47"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Serbia","2010","17.8"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Males","Romania","2010","16.8"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","United Kingdom","2000","11.54"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","United Kingdom","2010","11.6"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Turkey","2010","12.7"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Slovenia","2000","12.02"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Serbia","2010","11.7"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:10 to 17:19","Participation rate (%)","Females","Romania","2010","12.1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","United Kingdom","2000","16.15"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","United Kingdom","2010","14.2"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Turkey","2010","22.8"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Slovenia","2000","14.26"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Serbia","2010","14.6"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Total","Romania","2010","14.3"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","United Kingdom","2000","21.90"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","United Kingdom","2010","17.1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Turkey","2010","33.0"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Slovenia","2000","16.40"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Serbia","2010","18.0"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Males","Romania","2010","16.7"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","United Kingdom","2000","10.66"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","United Kingdom","2010","11.4"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Turkey","2010","12.7"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Slovenia","2000","12.21"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Serbia","2010","11.5"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:20 to 17:29","Participation rate (%)","Females","Romania","2010","12.1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","United Kingdom","2000","13.60"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","United Kingdom","2010","12.8"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Turkey","2010","21.7"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Slovenia","2000","14.11"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Serbia","2010","14.7"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Total","Romania","2010","13.6"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","United Kingdom","2000","18.65"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","United Kingdom","2010","15.4"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Turkey","2010","31.5"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Slovenia","2000","16.28"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Serbia","2010","18.2"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Males","Romania","2010","16.1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","United Kingdom","2000","8.77"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","United Kingdom","2010","10.4"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Turkey","2010","12.1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Slovenia","2000","12.03"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Serbia","2010","11.5"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:30 to 17:39","Participation rate (%)","Females","Romania","2010","11.3"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","United Kingdom","2000","12.67"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","United Kingdom","2010","12.1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Turkey","2010","21.5"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Slovenia","2000","14.03"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Serbia","2010","14.8"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Total","Romania","2010","13.4"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","United Kingdom","2000","17.44"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","United Kingdom","2010","14.4"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Turkey","2010","31.2"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Slovenia","2000","16.18"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Serbia","2010","18.4"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Males","Romania","2010","15.7"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","United Kingdom","2000","8.10"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","United Kingdom","2010","9.9"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Turkey","2010","12.0"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Slovenia","2000","11.97"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Serbia","2010","11.5"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:40 to 17:49","Participation rate (%)","Females","Romania","2010","11.1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","United Kingdom","2000","11.98"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","United Kingdom","2010","11.5"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Turkey","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Turkey","2010","21.0"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Slovenia","2000","14.04"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Slovenia","2010","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Serbia","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Serbia","2010","14.8"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Romania","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Total","Romania","2010","13.2"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","United Kingdom","2000","16.56"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","United Kingdom","2010","13.8"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Turkey","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Turkey","2010","30.4"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Slovenia","2000","16.16"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Slovenia","2010","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Serbia","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Serbia","2010","18.5"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Romania","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Males","Romania","2010","15.5"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","United Kingdom","2000","7.60"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","United Kingdom","2010","9.3"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Turkey","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Turkey","2010","11.7"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Slovenia","2000","12.01"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Slovenia","2010","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Serbia","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Serbia","2010","11.5"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Romania","2000","-1"
"Work and study","From 17:50 to 17:59","Participation rate (%)","Females","Romania","2010","10.9"
